Temp (°C),Pressure (kPa),Specific Volume (m³/kg),Specific Internal Energy (kJ/kg),Specific Enthalpy (kJ/kg),Specific Entropy (kJ/kg.K)
0.01,0.6117,1.0002,206.0,2374.9,9.1556
2.0,0.706,1.0001,179.78,2377.7,9.1027
4.0,0.8135,1.0001,157.14,2380.4,9.0506
6.0,0.9333,1.0002,137.65,2383.2,8.9998
8.0,1.0729,1.0002,120.85,2385.9,8.9492
10.0,1.2271,1.0002,106.32,2388.7,8.8988
12.0,1.4028,1.0003,93.732,2391.4,8.8514
14.0,1.5998,1.0003,82.804,2394.1,8.8038
16.0,1.8187,1.0001,73.295,2396.9,8.7571
18.0,2.0646,1.0018,65.075,2399.6,8.7108
20.0,2.3392,1.0015,57.762,2402.3,8.6661
22.0,2.6445,1.0022,51.422,2405.1,8.6217
24.0,2.9857,1.002,45.861,2407.8,8.5782
26.0,3.3638,1.002,40.675,2410.5,8.5354
28.0,3.783,1.0038,36.073,2413.2,8.4933
30.0,4.2469,1.0054,32.597,2415.8,8.4514
32.0,4.7596,1.005,29.827,2418.5,8.41
34.0,5.3265,1.0064,27.196,2421.0,8.3696
36.0,5.948,1.0067,25.96,2424.1,8.3322
38.0,6.6349,1.0079,23.59,2427.6,8.2956
40.0,7.3851,1.0079,21.965,2432.7,8.2556
42.0,8.2085,1.0087,19.515,2429.4,8.2256
44.0,9.1072,1.0095,17.803,2437.8,8.1818
46.0,10.085,1.0112,16.063,2441.7,8.1456
48.0,11.178,1.0114,14.354,2447.0,8.1089
50.0,12.363,1.0142,13.214,2452.2,8.0724
55.0,15.763,1.0146,11.382,2460.3,7.9788
60.0,20.055,1.0179,9.63,2466.9,7.8996
65.0,25.043,1.0199,7.6675,2462.8,7.8206
70.0,31.173,1.0228,6.1695,2478.3,7.7596
75.0,38.597,1.0258,4.3291,2478.3,7.6812
80.0,47.416,1.0294,2.586,2487.6,7.6085
85.0,57.868,1.0321,2.8205,2487.8,7.5435
90.0,70.14,1.036,3.4604,2498.2,7.4782
95.0,84.609,1.0366,1.9808,2500.0,7.4151
100.0,101.42,1.0435,1.672,2506.0,7.3542
